kosakata
0pp41
0ppai
1tem
4NJin9
4Njing
4nj1nG
4nj1r
4njing
4su
4y4m
ANJING
Anj!R
Anj1m
Anj1ng
AnjInG
Anjay
Anjayani
AnjenG
Anjeng
Anjg
Anjim
Anjing
Anjir
Anjrit
Anying
Asu
B0d0h
B0nt3T
B0reT
B4Bi
B4bi
BABI
BaNG5at
Bab1
Babi
Bacot
Bagoy
Bajingan
Ban9k3
Bange
Bangke
Bangsat
Bapak kau buyan
Bebel
Bego
Belegug
Beles
Bengak
Bgsd
Biadab
Binatang
Bngs4t
Bngsatt
Bodoh
Bool
Brengsek
BuayoDarat
Buyan
Cyckat Blyat
Dajjal
Dekil
Djancuk
Ebles
Eucreug
Eusleum
FUCKYOU
Fak
Fck
Fuck
G0Blok
GOBLOK
Gilo
Goblog
Goblok
Haram
Hartanto
HiTAm
J3l3k
Jablay
Jadah
K4MBING
K4mpan6
KEMEM
KEPEP
KONTOL
KONTOLL
KONTOl
KONtol
Kambing
Kampang
Kampank
Kampret
Kanjut
Kehed
Kemem
Kmpg
Kmpng
Kntl
Kontol
Koplok
Kucing
Kunyuk
L0lo
Lnte
Lolo
LonTe
Lonte
M0NYET
MEMEK
MEMEX
Mabokdah
Mampus
Mati
Memek
Mmk
Monyet
NGENTOD
NGENTOT
NGENTOY
Natang
Ngentod
Ngentot
Njirr
Nonok
OON
OTNOK
PEPEK
PEPEX
Palak bapak
Pantek
Patok
Pecun
Pempek
Perek
Persetan
Pilat
Plt
S1aL4n
SETAN
SangatBuruk
Setaaan
Setan
T@un
TANTO
TANto
TAnto
TOLOL
TOLOl
TOLol
TOlol
Tai
Tai anjing
Taikucing
Tan*to
Tantok
Telaso
Tetek
ToLOL
TolOL
Tolol
Tt
ahhmantap
ajay
ajg
amj*m
amjinc
amjinx
ampas
anak haram
anak lonte
anak setan
anj
anj1m
anj1ng
anj1r
anj4y
anjay
anjayani
anjeng
anjg
anjim
anjinc
anjing
anjir
anjirrr
anjrit
anying
asu
asw
aut1s
autis
b00bs
b4b1
b4bi
b4j1ng4n
b4ngs4t
bAB1
bAb1
bAbI
bAngsat
bab1
babi
babiloe
bacem
bacod
bacot
badjing4n
bagong
bajing
bajingan
bakwan
bangke
bangsad
bangsat
batulase
bbi
bedebah
bego
belekok
belis
beng4k
bengak
bgsd
biawak
biji ini
binatang
bispak
bitch
blegug
bngst
bodoh
boloho
bongok
boobs
boret
brandal
brengs3k
burgo
burit
buyan
c0l1
c0li
cak babi
chinchin
chinpo
cok
col1
coli
cum
cum4k
cumak
cupu
d00gystyl3
dancok
djuancok
doggystyle
edan
eek
fak
fakku
faku
fakyu
fuck
fuckyou
fvk
g1g0l0
g1g0lo
gada akhlak
gak ada otak
gay
gebloh
gelat
gelo
gigol0
gigolo
gila
gilo
goblok
h99
heunceut
iblis
idi0t
idiot
ind0g
indog
j3mbvt
jahanam
jalang
jancok
jancuk
jemb0t
jembut
jiyancuk
jmbt
jnck
jurig
k0dok
k0nt0l
k4mp4nG
k4mpang
kAmpAnG
kacok
kadal buncit
kambing
kamp*ng
kampang
kampg
kampret
kelentit
kenthu
keparat
kerapat
khampanc
khamphang
khontoll
kimak
kimaksetan
kintil
klentet
kmpg
kntl
kodok
kon+ol
konT
kont
kont*ol
kontol
kontorkun
kontoru
koplak
kubu
kurang ajar
l0l0
l0nt3
l0nte
lacur
laksan
lol
lolo
lolo nian
lonT
lont3
lonte
m3m3k
m3mk
martabak
matilah gancang
mek1
meki
meky
meluat
memek
memew
meripang
miecelor
mmek
mmk
monyet
n0n0k
n3n3n
nen3n
nenen
ng3ntot
ngacukmak
ngehek
ngentod
ngentot
ngentottt
ngetot
nigga
nnk
nonok
ocincin
onchinchin
ongok ongok
oppa1
oppai
p3ndek
p4nt3k
p4ntek
pIlat
palak bapak
palkon
pan8
pantek
panteq
paok
patok
peak
pecun
peler
pepek
pepeq
perek
pil4t
pilat
pl3r
pler
pliok
puk1
puki
pukimak
puky
putang i namo
putanginamo
qmak
qymak
risol
sayang
setan
shit
si anjing
sialan
sinting
sperma
stfu
t0l0l
t1t1t
t4i
tOLOL
tahi
tahu
tai
taik
taikkk
taun
tekwan
telaso
tempe
tempik
titit
tlol
toLOL
tolOL
toloL
tolol
tulul
v4gina
vagina
weabo
webebo
weebs
wtf
